key|data|validation
598719804|sulfopurpurate|b19a965db6d4308b9610bba5d3fe7f27c8672459de4bdb85eb171a4a94203693
509314367|entracte|3aa1028d02622098355cfecc9c1285721f8bf1f5ea7c8b7604078f850ab47020
540919955|nectarious|1f38d6cc510058f270fa8f508540ad0082ea4b833b28d519d9a7066c94d5223c
649325658|Trichinella|d0b2aaa1b9626827cb9d99f8c433d4843be9656432d69261e87c875be3687f35
248768667|quarterization|243835a642f74a872209a4c90ce2666ed33bcf84654e1c08bc9389a3e75f5456
357439247|foretypified|8f4e7d2f8cece005fd562fbf886c77f92a432154b4070a22a119a388c47a6bf1
387426796|bloodleaf|5637ebc2a1d73104cb6280a864ae5744f023b01fdc7eaee47af3afc8042aad08
604025386|indeprivability|56f8b9f143b4cdb7dc8bfac58493047a6d4f0245b6c9cd59ffa25184a6495590
713938130|lanific|c8a0678a138080a8911289cf7e5941494fa6f92ef5792f1694cf3d57525e6cdb
643684484|bombarde|946e873cfc2cbbc7911603c81dd130076a2b3b29fc10e16b92b65f2a17427f75
512939838|Nootka|291983e05c4f2d9d129382dcfcd7c97fd730263e1b669dd6c74eb3bec7803bb3
924039737|spermalist|5d819a179d8ac1dd39bc53356840283fbeb828161c1daa84e7991bbc3775629c
226964768|masculinism|11dd3d9cef44c46d64f642f72861ff8cdbf22f62ece2b64f95a372f5ba74da6b
543355029|tunish|b6af31f7285766b14be1ac8164fa733b9b8e82b4fa850dabc79b31fd2b9de45e
149844227|aggravatingly|57325fe0e0990bb1a88bb42d7ee58e4822ee350f789e4c7c5d6435e8248e9fbd
461642072|medlar|de400519289801915dae5652bf00c50674965f72d6323570132ffa980ab2bcd0
613122557|newel|f7042262deadc0202d1ab6dce3e62646c87cb31c5dab227a5e7f9100c0ef9a22
897755726|symphonious|16f952fbf4f7b7fb2bd6d1ed566ba954c1be0ac2e10a98bff4719b8bf7e0d5c8
963079888|delver|c75273f0a9c482fcb933d9dabc8c451aae05910bc96a89cd8113598d60e22b76
602308152|nitrolic|39d66a5646aaff520124223d12cc161e439ce3efb4af1c79d60027a15f49ced1
889525265|heteropolar|e1fd5632001bc175e115149dc71fb1103db8ee15e577f1a74e4aff93260fbc2d
294583499|abashedness|5268743b3f20b3eb64e876d43afd64c784b2713b08d996287756f2cacccb5040
317673906|virtuously|0e48b4ed433cc1fadd0476287454d10cebd31171b97cd508718e170d4542adab
385447930|residentially|4b5b87657e36e882986bb7ee303c66e4924852fc092692a2b0a3cadfe7d0a0a8
374736945|jalpaite|33be6e177700c4622f00bb8adb1716014b662220958eefcaffa518e88ed3d753
956971307|Rees|3a92a4d5664a25703d95528b64b884004be6227d01532f4c7433bbca59ef2de0
