key|data|validation
587394070|polyzoary|03ac58b6cf0fa68955398e0e3a7e48a2762230634c2e40cebe55ae8b83088e2d
343537617|pencel|97ff325ded27b0219dbcb17246fb9fb26e82afa1121d7b85358355a08497eaad
662338536|Machiavel|26af6739b1befe375e43af5c61cee7a04b9ce97e1619cc417a7bbf6a60a94aa4
112256274|environs|598f8835ebd8a02d0d51fd1e975810fdba0b2017f4196d8fbecafca971d89e12
862438824|unpelted|f26887e4dc07ee3a3c825571a162f53db2e572ca3d6577aa6073c5a7655c0d27
458890408|residental|2234e207390c2f756cac03bcb2d41eee319b2e9b38439fcd28f9fa02f49f0433
768445545|pagehood|430f77ba9c5aee0eb7689df3e7bd4ccd57bfcea80b57b43b9859e6b6c8a4e976
236288681|diadromous|4e72bf1b9baf4c3eca3a41c14a6a0b680d16cc4e956c7ec90b4287264d79ca86
468136571|sequesterment|9ff87825139fc645ff12c91d64891a79a0de9e68012e11d5db7a6a9d786140c7
264165844|cried|215b32fe46489b6c363f6d69c8e12150c48660cdc77d920cabb01a91057ea768
224816565|zumatic|53e9844fa591ed3087a5aa328bd3e9cead3a63423e7bd66a2768148bdb8b8726
951575550|underdone|0080791b1f2433db49a26f9bf5faafd445bf5ba911963d370d44de1fba078df9
256005259|imprestable|b05042607bc86a1cd90e4e0fde4e9f75e68dcbf5a4b88ada8e0677a0b5e840fd
489269475|gastrorrhaphy|042a6e7b356e7d3b828e56f7c48d8d9b2c55aac7cd4e3be3baedf4b47212726c
983714332|spiculiform|478294620eef90e881ee8d8409bf7d2feb3c703165750532fd47386504bba862
965217941|fikie|51b97356a9b8b4b8f1c7a436841f5b4e17b331b72a6f5d918c02a39f2c598d4b
970303393|violetlike|609d177497bf2a1b26600ff054c35d67cd6d8c8d5819566da08292568e14a7e3
566299310|Kalekah|721fa8472d177a6f0bac631d84654bc2e0d55c7f21132b665efec01b95239d54
789008139|periurethral|29e6e5e22b45718693dff55f10681f2280085a1e39a089dbd01ccdbc9588115c
865439697|gratefully|f4bcdcbf709ed8e7bcf69a4b1e45f7a7420c7706ab363a5d823b81dadbf83d5c
748185625|bitterness|7c9a93bc0557450729b6897391685a4de264590bf58b00628cf3933fccc6ae90
949713423|hydronium|860dd83359a7debfae02e37c491234337b225443b546bfbbd28226b7f9b0d475
719621392|abiogenetic|22e375e284636889df74707baffc70a6f6bb460fd407f38db5f10b83d107be9f
566681423|achillodynia|bb6c8513017f815b72a15d32f5d2d3a3ec85d73cf9c358e924cc8bbfe19ff570
501220691|Tagakaolo|8da9d2b8d19caab8582042821a0a2920ae28634adf21dfda0c0f4e20f722b694
962215989|unequalness|f20ca603b6cddbf93040ced8e47cdd156d6337f0da0bd6260fc7a8e78dcf94fb
