,File,Size,Algo,Field,AvgTime,TimePerElem
0,set3.csv,1000,Insertion,key,0.08648363933358875,8.648363933358876e-05
1,set3.csv,1000,Insertion,data,0.1064230786666182,0.00010642307866661819
2,set3.csv,100000,Merge,key,0.9773411333332357,9.773411333332356e-06
3,set3.csv,100000,Merge,data,1.213293822000196,1.213293822000196e-05
4,set3.csv,100000,Quick,key,1.9738358499998867,1.9738358499998865e-05
5,set3.csv,100000,Quick,data,1.8750161226665416,1.8750161226665416e-05
6,set4.csv,1000,Insertion,key,0.11679006066666868,0.00011679006066666868
7,set4.csv,1000,Insertion,data,0.09292580800016974,9.292580800016974e-05
8,set4.csv,100000,Merge,key,1.1033949273332837,1.1033949273332836e-05
9,set4.csv,100000,Merge,data,1.1487484489998678,1.1487484489998678e-05
10,set4.csv,100000,Quick,key,1.9117572676668715,1.9117572676668714e-05
11,set4.csv,100000,Quick,data,2.225535157000195,2.2255351570001948e-05
12,set1.csv,1000,Insertion,key,0.09155800999997155,9.155800999997155e-05
13,set1.csv,1000,Insertion,data,0.08663218999996995,8.663218999996995e-05
14,set1.csv,1000,Merge,key,0.005728054666481815,5.728054666481815e-06
15,set1.csv,1000,Merge,data,0.005386427666659681,5.38642766665968e-06
16,set1.csv,1000,Quick,key,0.009711009666716564,9.711009666716564e-06
17,set1.csv,1000,Quick,data,0.009914697999799197,9.914697999799197e-06
18,set2.csv,1000,Insertion,key,0.08523975366642844,8.523975366642845e-05
19,set2.csv,1000,Insertion,data,0.09442628933326584,9.442628933326584e-05
20,set2.csv,100000,Merge,key,1.1866161906667305,1.1866161906667306e-05
21,set2.csv,100000,Merge,data,1.177063267333324,1.1770632673333239e-05
22,set2.csv,100000,Quick,key,2.030873308000082,2.030873308000082e-05
23,set2.csv,100000,Quick,data,2.364138602333393,2.364138602333393e-05
24,set5.csv,1000,Insertion,key,0.08652876733322046,8.652876733322045e-05
25,set5.csv,1000,Insertion,data,0.09996687666686437,9.996687666686437e-05
26,set5.csv,100000,Merge,key,1.128272137999981,1.1282721379999809e-05
27,set5.csv,100000,Merge,data,1.1426918720001897,1.1426918720001898e-05
28,set5.csv,100000,Quick,key,1.9748102496666131,1.974810249666613e-05
29,set5.csv,100000,Quick,data,2.13406241666659,2.13406241666659e-05
