sequence|TLEN|data|validation
0|56|pneumarthrosis metaphysicianism verbenate dissymmetrical|4873629ccf96083044af8c2ea292ea5139b93b7d3fb0edb42602ec986e76992e
1|43|catan phanerogenetic astrophysical bartizan|19230b54869e1ab7a01db8cb9eb653a421602f06d8a64902f64c69fd5963aa55
2|44|photocampsis nutmeggy archgomeral unvirginal|8a9022751fc818b52902675cb5af41382be4851a923c99a12b92a6bcd1392d71
3|37|woolly reallege monosyllable scabland|eabfd957ead4cb3bb9b6af5f37e82a714eff7fa921f42bc819ab4ff32a53b4e2
4|30|lake imageable hoarder owtchah|af870612ae5ee289bebadcc205acc936ae13f19ee0e0c15c7ab3537f1b8267c2
5|32|battleground wham pyropen rivage|a3b8a41b746def2442c4cf39bac8bc2f03a97b2b87d03230f21a13bf6c7e281b
6|38|poroscopy sesma tropicopolitan spinate|12af02aec1f1b536e76f542832922c11a169a82ffa182d37348b92cf3211a510
7|38|multipole pressural entangling collide|91bff417c4296b7ef87c6d0a379cd1952411c54d1021c32bb33eee87af58b5e8
8|30|meek apneal hyenoid blackishly|553631ab84ffe91ade3eac7f65d42098cf586a3f11c6ee87fba2d9209edfbba1
9|40|rounce dentinoma Antiochianism stipiture|29b88ddb5eb297d69de46f246196fb3b0eed141a6d1a4a108ad41214131c71a9
10|33|spoach subpress overpower outsole|ae52d06fd76acef7faea2d37b87bf73bb9f2f758c42e1ff5412834775eb0c0d9
11|48|oiltightness bevelment Wykehamical veridicalness|159e8dee4a1336a963a1180ecb4fa7481b1c9dab6bfb1833e56518711d28480e
12|54|spectroradiometric primigenious essoinee Atlantosaurus|d56955bd52950c2367d42a0db54232ea30fe36d7213430a4d67aa580b002f55c
13|36|frigostable Linguatulina reit Filago|a83c1c8051deeaceedca3d9d7064f669f4f534efe92d50c8880da3f63c81f17c
14|51|infraclavicular mesochondrium outmost paratyphlitis|b6197b7f54e93f8ff2ddfd9810a421ce3f82bcef7b769f8a9fa946ac33da5239
15|37|cysticarpic fussiness Kustenau mallet|8c0e0bfe72ca638d7716ce97e8a532f0f4731808c65d9702a0d057b1432d7609
16|49|sursumvergence undercollector Glathsheim basigamy|e56fd14e30c6fe435dd0d5266e0d3a50bd7f959bd8192ddd10b30674f0cee787
17|48|peppily unexpurgatedly autoluminescence outscent|f35485990a37ebebef6e7cef87477e078eb2cfe77614e9fa7ad0cad220fcb055
18|39|biarcuated Koorg perfectivize toxicemia|5d86ec7fe25398b22912cb7b70a63b149467c2bad51781621fa46cf14b3d6925
19|39|Trudy superaspiration shinner vaporific|882bb4ddcde4aa1975076ac4a65391774ca40674853023153734e8a8fcb522e7
20|47|unstriving psittaceously siderostatic lividness|f19b6c25f79841bf86efa4276aa269df686bb50724c3d65c771a03a13266f350
21|29|gonal oust dullsome solemnity|adfc11d39800a01c383c4f2cf366cb36d4c0da794c18fd408dcb2b422d1c702c
22|37|Rucervus fisherwoman cornerbind abase|9209bb06e1649aa4a6d4f390cd71d8f430cacea73604a37f0df151cbe0098895
23|44|lopper aberrancy nonmechanistic canaliculate|04afd9bfc4d37764d52c46bed25473c1ae29979f055a927156bc8607cadc5e57
24|42|epiopticon intercommon rightless timeliine|ac7b11ac244dca3e635e1bf1714b08408b42120601a431be0c3862ce72a0b595
25|45|adenosclerosis taximeter swooningly promittor|644ab5687aa6fdbd67e1967e424daafcf389be07cf1856afc8feece7380e924b
26|47|metaline malanga theophilanthropist structurist|820d71d742eaa46da71b4e600023c1359b1b25af2f5d16623a7c70d2344c02ea
27|47|Theophrastan viscount nonmonotheistic boodleize|a3b5f6eb28f370ebfe527bd9a4217b25445c65a06b0c3230863d8f9d299b4476
28|36|roupet banstickle invertible joysome|3909b9cd5b7e50f327ad39c67b13efaa4fee1edfcdb824084c2be92969f20bc3
29|48|overrunningly arteriopathy primitivity coughroot|9f03dcfd2d1d72f071400fd1e0a44a534f3635f341f6081bd9aca66409298320
30|39|Campa nonteachable amantillo scrutinize|2d5bf8326e4d54a10ffaa6abcb0ee07feb6a831b2ba580a30fefd8cc9e01e074
31|32|salpacean marlberry exam fortune|4a1b8332b04f83a43fb6d12baf7a1b966ca46137ad0f02069add6bc7632320af
32|62|pleuropericardial sulphitic orbitosphenoid undemonstrativeness|3c178e27b19ddae547e797dc544482c230f2048df9178385d86bdc1f2084520d
33|30|beknown Halimeda lochial poind|6adb6fbadd929524c0858d72ffa4471d7f9eb0f7f635ff490acc7939e55f9533
34|43|talepyet omphalorrhexis apprise upboulevard|ca45d4f1b9074433b8d971f28f0d5507958650a714c79fd6266092401456a696
35|44|bacillar gnathophorous fruiteress cowhearted|849a454b152ca127ddbfb8d6dbb6e54d35b55de9f933d64272754521c20d2f7b
36|39|snort memorial cathexis arthrolithiasis|d26e02d2c5a41d15e1269a1ebec2e272f2c05ad1ee1ab9c102cec7217d21742d
37|46|Tillandsia abundance unpractical angioplerosis|bb03715c15ba767dccc9fc7ddc772af9319c3ac7a46f98dd1e40b186ffea8f15
38|38|popinac feasibleness afterswarm respin|5d13740a3476e32dbd84095d2281bd3b4acaac5f49ed30a3f04db25e5d7cd0aa
39|46|iridescency adrift dendroclastic delightedness|11fa5d47e23969597a44ecd1c208ef1993a76cd1586850e29979e8f5940eff99
40|44|intercapillary preacidly mirksome oversourly|0406350083955a3a2d2fe082268777abfa0a6289743e519904672a7fa101e699
41|41|papism fosterhood cameralism juvenileness|0af7c608cfe750035508875e534005569807fe5fe3151f4e49182b412d9c03cf
42|40|hackamatak judiciable siphonium overzeal|2de6e38adce5803f24ff715be0c61b654a652f0d63e01d15cd25ee893ccd186a
43|33|firkin compensate phlogiston watt|ee977c411ed7805b38a08493f2d1f94ccf05557f2a4d6992bb6ec71a3438af62
44|37|preconnection impotent slidden Sophia|6e55e343a6bf647d3ad64cc7ad102aecb7f4cb3c5bceec9f3dea559322f4dbb0
45|43|scraily stimulator Clerodendron piscivorous|af6d43e956d7dfc652184133b8295b8d9ccfc1ef86d8026fb413ea7de6f4f2be
46|43|bicephalic extremism unmateriate sweltering|93aaa9bc73208cf871c81f8151dc86cffb88c1f730707bb7576e8dd734294866
47|45|extinguishable hamleteer quadricarinate dormy|a4c1fc9871f3beffccac7af1dc4e295d937c7a3d62c46eb341ed3b8551ba92c3
48|45|leatherroot epipterous hydrobiologist mullets|05e783e6d2c28db7f26bdd34dc62a382b7f2c54ceaaac6f53fd9183ec9df0ba5
49|31|epimere corindon adoratory gote|0d6df4005edb3773a8a8ba6abdfd0bccaa886fa4b69145c02ced78463ddab15e
50|39|passless eupsychics unicelled desireful|f70cc00f71d6c2eb84be8aa949abb333feed57d7aec513e9e58ebc439a32b112
51|39|herbose parenthetical sphygmia disalign|cc73c63621c3797c9f3c20578cec13a7135601c3544976046d5c2aff4a51d3f9
52|40|acetarious sleave misaward myxopapilloma|7d07c0f5efc19c35ece3c9c549d503d7df4834538504b3241b5aead0a0824e12
53|43|unrepeatable beaverish unimporting tearably|1d4c7d1f7de606fefa6159998301b10f0e13c4644ea0925a93e24a34aeb7d6f6
54|33|famine garnet homebound voiceless|54d2958a542b3efd8fde8783121d161d4e7c8ec71f6a6685849dbfa0227bef24
55|43|quarterman prelegacy stert circumlocutional|cbd9eba02eb45e9f4cbd9927417a3f1d8d820380a3ea46c6bc7ceea3abc55540
56|38|mig demilune broiderer salpingomalleus|9e6f7edf37bdc53d54847397e6e9efc09e34f212631512e3cedf0702369c7ffa
57|40|corncracker scamping detectable maturity|c4a4bd8af9ca70797187e7f3f3c9d3eac3d07acf656761fa3368c9565850c184
58|42|denticulately bianisidine billycock tuning|6dc620692f0d2d0db5ffd8d5d909073908873f8de80a103deba2d0699a349050
59|37|detersiveness pycnosporic excise save|fa47dd9db3a34d93a1d3fc31423218bc6163037a79b63931edbbd1e425f8ebe6
60|48|intrusionism cinchonaceous pentangular inharmony|b0cf7ceb2d320048a491b9124f3089a699da23de4de5c1a98a5f9afe7eccd65d
61|44|disobliger pickaback dacryocystotomy tipulid|c7e1c18c8af6f59ef0063bd7132124577e51c76e8c25c10272b73208fb906640
62|35|stingingly disinter fader misdesire|601efd43cbeaccc660a9b7caa13a74a5ec7bb3b76cd185a8c52ff9392f008176
63|37|gainage isochronize divider antlerite|8aa3b4028a3fcba1749a88f91c121d4e2cef63ce1846c02697e63966e63dcad0
64|50|invariantively hydatopneumatolytic divulgate Konia|53a559353caba04bc48785990efba1fb3973b3b75a3f7f96c31f1df2e869f11a
65|48|policemanism inerasably Asclepieion nitroprussic|c47d4103cbd4bccf6e0a18353881c9d2443cede74b26c1b8fe7e66853f4294b8
66|56|prestudiously nondegerming diatessaron orohydrographical|1c47b09b23d36eada59ce57aa988087d2d7f7587e70907b116ceb2fe8603b988
67|41|unobservable backfiller sibilatory barile|4cac7965809324c6a8e838863e0a586ee667331fba50d194e5204a55ee39462b
68|43|breadthriders impedimental indocile unheady|3fea6c536aeea28d9dbd59b74bc94ee4675bc7bb3d3af04e90b74f99a6d91b49
69|46|preoutline Sphenophorus monotriglyphic clavial|61fd52a5fc4e33780c9be75840788b6b3c861dc3176d08e1e3c0797d5914d309
70|38|oddlegs unfatigued apiose nickerpecker|eb02b0f7098067ac32a83bd29fb0c7caf276949e9cb5aa798b5257efc896c9cd
71|40|variolic atabeg twinelike testimonialize|1e7efafa10d6a693e305f7e935ab2d0dac79f2ad37c562e4603653930948f80e
