sequence|TLEN|data|validation
0|42|horsemint octoradiate dehull unceasingness|23188e97d769cc9c70fb10a941176a8fe36fbf45e5156dc5f95725b49c406841
1|37|simling tawnily nondefense thrombosis|fb02ce28c5328cf3652ef822bc23cc619d2ef5af6f10ca0e0a66bb7834c65057
2|49|demilance cementation transseptal pathobiological|1903681cacfb478aa5de9c69dcf4731e5597e4f41958eeeee4c60ba258f91320
3|37|perivisceral spiderwort flosser attar|c1da900d78618140dd5675e0b76ad9258ebb2378a47ec9dc69806f4db5c68b1f
4|50|Argiopidae retardatory overcircumspection bandless|2c5b2beb12c246f3e42df9eac7834bd54a5f1ebd10ae1a061a0f15527caeb652
5|35|Korahitic kinkily Dutchman strapple|8936c9bf387780ef15c6b52d6c2b408576584cde99ba4c8f0f9b7ddced622552
6|37|phosphate caliph hieromachy unreadily|bb86ac4c3461f31e3bd7e1c5ecd460b5dc1a553960b94ffad45df8ed6c4c3feb
7|45|ectoskeleton henter undecomposable unexported|ec1dd567211d494a031169af8ba017184190b7275da53afd2f29d222f381170a
8|35|cyanean yogi bachelorism synthetist|e0367b00d850ede4cf31a291b41a3a4fbdd968760a5f4cac16b2356c333aa2d6
9|26|nudate canyon soakaway lot|09885b1b171c1b5760436d48c0270c05bede4a128f6588996e0fb6e8a893e3e5
10|43|syndectomy phycological caesium electricize|7d54879a08337cd162a2d9170436f5e80b45ee9cb59df14591032a7f951bb8fc
11|33|nephria paintpot nookery tamarind|fe7d842a4b11ad4167bb617155d6b59749efafbd694aae601e8f04d2cda8bab6
12|33|cinel poltinnik Acts untroubledly|5226921866e30212f21efe577e9da9ba6c92030afee35869e92e41df3fcd5dfe
13|31|kinkled eternity loon vaccinoid|13043f7eee6d5e9ad7fa3905dcac295d9d298e09ffc31d5e816e795f0b4cfbcc
14|44|confusingly tablefellow charityless entocele|a5be7b2c95fedb7bddaca5bcb8459f514c7afe63d654074ea581df4fbff1e5f3
15|39|sarcoadenoma crazedly jacuaru checkwork|44a6efbdce2d3c053b4c21e9aa3c9f860db3250d31d96d640bc70ae9172b22c5
16|32|frush sylvage Pristipomidae odel|3678f0ef5a807816ec8f3b4b14b27a6a6346fe789f5043e35244f358500a71eb
17|39|silicam ganglioma nauseatingly publicly|e5cf4ad146e11f2a75008831af3c8064011b63661d68500335083733d4167201
18|39|bygone coarctation replevisor chaffinch|9964d627f5a5b2cdaae1d6bdd209830dbaefbf50abe4b3394e268ac9243712d9
19|38|prolyl aluminotype unstereotyped cedar|e871fa9b90cc4cddc3fc05955a1dbcfc748723e281ff8e309b5a030101046163
20|48|tyrannicidal volcanoism dissertational hylozoist|b0e7acd5a7ca94efd7e4fc0afd540c5a79faa8bcf91e3b8b37894a76b7ebb88f
21|46|Caraipa extrascholastic prothonotariat crissum|e2fb5a145c359fd818c9b6ca805c7271e96357051255dd722231e10dd6c1b340
22|38|blennoma melange devitrification detur|ceb4126ae2c498715a1c7349b91aefaccfaf8e99ae03f84c6a2056213f52c209
23|49|craniacromial whileen uncharitableness concutient|5aaa2b9414a22567adf5c2cc0f7c6e4bd53d19077217049ebd4e6c88547319fc
24|41|bitterful staphylosis tritanopic simplify|e7079ffa36b88276b83edc218850d64cf04bb1acd48c75497a7eb46e78d511e7
25|41|unaggravated cinnamol uncreatedness Mayda|4a31e37b8c169c6cc0bfc42e076f785c6b7dcd39f1986c9538a0214caf764d10
26|41|atrament phosphamidic chytridiose Chrobat|c8e2447b5a07337e2410ac8198a3d0a24037ebb2af9febbf9aa4e85df0f8ce89
27|54|monopotassium logarithmically stockmaking noncertified|35e009b99acf77643bae5f6fdf9f483d74ebee372896d39fe5bbf6ccadc6dbaa
28|38|timecard capitular obstructedly guanay|7847ee99c8c4f008dbbfd8d2315e1a19f18493f94a627baab5ae2aa50f4bbed6
29|37|rudge Saiva Leporidae quinquefoliated|9d68c9813106e75c58aa3bfd8ee3b92dc66cf3daef01cef580d0d1b0d5dbc24d
30|43|Saulteur magnetotransmitter growse foldedly|5445df0450b05ce95921cf27981cdf31a8b39e4e25bf8c2f2cff8225ccddf5f2
31|42|bookstall isoemodin spermatheca parentelic|96f7b48b0aad6361237249fe91516efa8d59ca4027a63112bc90be092130bc65
32|56|schefferite dermatopathophobia periblastic cinquecentism|adfdda0f28d11a1c13531d0048557b5882f31d8d257aaffd8d354844c26008c6
33|41|recitatively rooted riflemanship Sinogram|1bee895d61613fadbb221efd6e6d125547297aefa2f9e7bc6b350be61b999594
34|47|farcically Oscillatoriaceae cockfight flightful|7efa348acd810c28a818e40a4d3ee8e00064225e42f1070e5e5be086eeb886f0
35|47|classmanship maxillipedary harassingly muskeggy|180a4ed37ef1ed1e0445ae16a15009f96d1ae96b242723fb81a9bd9eb5b31aa7
36|43|posterointernal attorneydom aboral physopod|4920a257321c78aa6889cd997b00e8267541d8e7ac34fbb56ceaf324cd65d7b9
37|33|kiver pokeloken Hollantide Jucuna|d8c9c3bcb8f6b71f9e90f4090d9edc1662dfdd3adb532cb482ebebf5f87987c3
38|47|bacchante microseismical radicality propargylic|fd453201274ead243287d8ae53d4db2104fea38e26bebe7b290ff1ab371a81ce
39|45|theatroscope preofficially bunkhouse Cyclopic|beefd2d16372608ed377e35cda847f9bd727dae461ce378eaeeda65c85ffec28
40|41|sumphy droughtiness oceanity hydroclimate|392648fc7555878ca4a9838ce8ed33c689afbe9c8ea1e92e4504cd25d32249a7
41|56|duskishness ornithotomist rubythroat unphilosophicalness|3a1aa3b2d0b0179d5726a632c8aa2385a0c6f4997ed94aa6af45b94751ea7f0e
42|37|nonfertile hart unobeyed stratosphere|e4010d3cb2e84a44759ec6a5b1ceb32a86b0aab6da9d7a43c0b3973bc913a411
43|38|carboxylic musefully custard phalangic|c9da9f6d60f66030e7a0f1b6dc490423937c8e6e33ba59dea4c8d9a058f44d88
44|42|paradoxical pseudograsserie dewer vibrioid|5a02d465f443138cfafb4a341a024255226b24e4c8a8137900e91657c42f8afc
45|36|mithridatic unprim mordenite caninus|d4e9380c99c6d97d756941b22fd77894dda7636d80381d9f9ec60622f86237f1
46|40|tryptonize phocomelia Trutta blandishing|8147d9b1cb934a80273f225a1f4c9a0f01c31b3522dba764f9b8c4ca4320f5b5
47|54|culturological Plusiinae spiraculiferous semiasphaltic|5cab7e8400823775fd42ae61ea7dac5c450c5356e6e44e809546d50b2d987bea
48|40|counteranswer unskilfully conelet kathal|b84149ee7a4e95481a6436034383a1550c9b61b9cb9fac1078ad7e93e0de8ee6
49|41|overpayment against tarabooka suprascript|b79e80a4c4ae85f261bddee1a4b7816f52e6b93e7e50c3ff18b36f5871172a4c
50|38|ghastily Chalukya omniprudent spadroon|0e3b159d88644a4323c10276884f7c69e4ae2ce2e10d72918b2818675f3df6ce
