,File,Size,Field,Time,AvgTime,TimePerElem,State
0,set3.csv,100000,key,1.9153052589999788,0.1915305258999979,1.915305258999979e-06,unsorted
1,set3.csv,100000,data-a,2.879145771000367,0.2879145771000367,2.879145771000367e-06,unsorted
2,set3.csv,100000,data-b,2.842888588000278,0.2842888588000278,2.842888588000278e-06,unsorted
3,set3.csv,100000,key,0.16672883400042338,0.01667288340004234,1.667288340004234e-07,sorted
4,set3.csv,100000,data-a,0.2550429279999662,0.02550429279999662,2.550429279999662e-07,sorted
5,set3.csv,100000,data-b,0.2894184549995771,0.028941845499957708,2.894184549995771e-07,sorted
6,set4.csv,100000,key,1.970315092000419,0.19703150920004192,1.9703150920004194e-06,unsorted
7,set4.csv,100000,data-a,2.838309362000473,0.2838309362000473,2.838309362000473e-06,unsorted
8,set4.csv,100000,data-b,2.8215462759999355,0.28215462759999355,2.8215462759999354e-06,unsorted
9,set4.csv,100000,key,0.17137675600042712,0.01713767560004271,1.7137675600042712e-07,sorted
10,set4.csv,100000,data-a,0.25589567699989857,0.02558956769998986,2.5589567699989856e-07,sorted
11,set4.csv,100000,data-b,0.29260845800035895,0.029260845800035896,2.9260845800035897e-07,sorted
12,set1.csv,1000,key,0.01057969400062575,0.001057969400062575,1.057969400062575e-06,unsorted
13,set1.csv,1000,data-a,0.012124120999942534,0.0012124120999942533,1.2124120999942532e-06,unsorted
14,set1.csv,1000,data-b,0.010564883000370173,0.0010564883000370173,1.0564883000370173e-06,unsorted
15,set1.csv,1000,key,0.0009079789997485932,9.079789997485932e-05,9.079789997485932e-08,sorted
16,set1.csv,1000,data-a,0.0010871469994526706,0.00010871469994526706,1.0871469994526706e-07,sorted
17,set1.csv,1000,data-b,0.0013438879996101605,0.00013438879996101604,1.3438879996101604e-07,sorted
18,set2.csv,100000,key,1.932952731000114,0.1932952731000114,1.932952731000114e-06,unsorted
19,set2.csv,100000,data-a,2.810609776000092,0.2810609776000092,2.810609776000092e-06,unsorted
20,set2.csv,100000,data-b,2.7977149560001635,0.27977149560001635,2.7977149560001634e-06,unsorted
21,set2.csv,100000,key,0.16817154199998186,0.016817154199998186,1.6817154199998185e-07,sorted
22,set2.csv,100000,data-a,0.2540204429997175,0.025402044299971747,2.540204429997175e-07,sorted
23,set2.csv,100000,data-b,0.2870884419999129,0.02870884419999129,2.8708844199991294e-07,sorted
24,set5.csv,100000,key,2.018217206999907,0.2018217206999907,2.0182172069999067e-06,unsorted
25,set5.csv,100000,data-a,2.8424617169994235,0.2842461716999424,2.842461716999424e-06,unsorted
26,set5.csv,100000,data-b,2.8059057410000605,0.28059057410000604,2.80590574100006e-06,unsorted
27,set5.csv,100000,key,0.16987444899950788,0.01698744489995079,1.698744489995079e-07,sorted
28,set5.csv,100000,data-a,0.25479356899995764,0.025479356899995764,2.5479356899995765e-07,sorted
29,set5.csv,100000,data-b,0.28813928199997463,0.028813928199997462,2.881392819999746e-07,sorted
