key|data-a|data-b|validation
120945911|dactylioglyph|schappe|40224f08c33f6a52eefb5d4c3d3b7e3f267e78385fea6047e5e8a51e6b9ccee3
141936083|fiasco|chlorocruorin|3655a9a55392859f2be3135c2711acbbfb0f112133a8649b08dbbad6b4eaee58
232812733|solarist|unsack|b2f7fdd70d0b08c06658902b84153f1e448edd75e832f2ba154ad7b86b114d97
304248564|Paleman|anticathexis|19f3e626ee0a242a8f894cffe585336f805ac0b0e7d87f2cf485c4e3a964acf6
859647250|Aphroditeum|lagoon|2d287d5cde63d45022cd999b6d234576f29fd1236564a122c5a95d7bbb9f24b5
644100192|reincarnate|univalve|1dbbc958d28d4f0da48b4be61fe6dd75597e53174c0d6b00a8d354e613f56ee9
172808737|propulsity|doughmaker|43531be5d611524018cc8e3d241abc9084f0e2712e905c6331b7c9fcc954b259
159632043|Sphenophyllum|conventual|5fc66d02eac2090a4e64850c30f7a091c61f7e5b628c91bc43f634f855970d27
529041865|marinheiro|geogonical|025b762850855d2e791c73088060515f7d2e1dfefba70ededbf7179d4b4d59c1
500187933|lochia|microplakite|8c9baa9d10469163103614d1a0d29b4d4b62bd45cc54bde2223bfa113dbb70f1
997794208|thugdom|subaerially|55ad3c59931f27aa1c93bb7d585c47231a40c1b8526e51507b6485657e722d0a
506666766|Slavophobist|eumenid|ed530eb1669ae1591c6feea1d893cc2cd630165e8b190c567727a3eb11376c89
921282573|unorthodox|dunziekte|f4b081ffa14a3624fe02e4416e3b65e327c97630d41cd233213575b30ab66549
436699014|papagallo|unoperably|104354a79295472917ac795797205d81a56d2266421415b2e6fc3d409a7d7de3
743413450|gastritis|moonpath|e27798669fae0d24e1025ec487089ec25421bd3a867ef91b0f287437bf65ed4e
334878620|Episcopalianism|inhaul|20bf068dd398779fcbdbd1f083016b639953285d9a87d25eedaacdd602a5772c
263221980|Leonardesque|gerenuk|fef505f5dc1682de4bbdd6dbc0044e956e6d93e3fa31a286b8a49fe5516329c6
167303193|uncarded|Landmarker|12979c63a4d47c7188025ed85080f7ef907aa39deddb4433e5a3b4c08a8112af
484330123|indevoted|Turcize|279a70378c010296aaad96473f8a060b29d13265f0a6b4653342a548fc57175f
411886865|connivance|altimetry|33f744534a4d0417d1e3db7dd4ecf43d71df58402f2a983930f9a5d994f07d5d
335105609|perifolliculitis|varnsingite|4d738ed64edc3ce4f80b2848652028799dd4bd73c3a5e826c361eb048e4c2443
662700584|Flosculariidae|unintently|f93f0322feb7c65c67069638b55cc6ecfd703f1119f53d7c96c9d8a0aa15830a
983367677|scrotofemoral|climacus|d73a963b8f4659570ed6e43dae4852a2cd68a56b5437d07068e0a527f31aa392
656992008|Isopoda|heliotropian|aaf2a74290eb8daad086270ef1a66fc8bfdfd22540af8b96a738c2b7bd2f887d
801960716|pteroylglutamic|extortive|08d048b89a768b5e8710d295bef9be082798e7ed07a6e822f6b9cca7e8ca7d05
218923739|Mesvinian|elfinwood|296808e2424e19504eb45bdd5f1950a331c0a037beccad50cb8887de0f55d33b
493326187|anticrochet|arightly|9fb11245f403d1c7ddf62d04616c242c8a286b3db21f3185e57847e88b0f37c4
510210470|monamniotic|makeshiftness|fbbe80727e2be532f151cdc80f59df35ba5e9b192d7ca4fe68f382187a69495c
701766608|Jacob|orchestic|5d46615cfe70dd0711332aa5da1575b0e0fb6c0f1d499c1d0fbe1d8c52f6786e
872548186|doctrinary|anhydrate|3dbf904f8d7dbfe3ce26360eeefd23ffd6a5481b3e2bc71fc57748f795a211a1
138539405|drochuil|penwoman|3a41294165c1b793239e4ba72ad493d3e7f4df460cdee55e171e7a59b6570826
218753205|swashbuckle|periauricular|f1d85dd46dd31bc71b58d01830f14d1a51732b1858a63649590e329b88e639e1
624714486|telegraphical|apsychical|421bc898fa52bf7ee59751ad7b1cb9f5c8e3893d7808176ae62b342f2e5b8b65
894249209|prolabium|penneeck|e256781047b10cd8c926ebea83ac3683a936147a56393e941725160cc9a51462
917014527|citatory|Ranella|11e34af1dbc2630d72772e9118bffc49bf38ac4903aec1e62b6813b763363e84
324865341|centerer|holystone|5a58f060081f5b7b7468dcea3af244b7bfa281a3998b0e176faf6ef2648b610c
488736685|seemer|nonperformer|9caf6525c570bcd99628477fbb92a83f43d02c2a34a86ab2932e53f7ae689a0f
217067531|solvable|sonorific|6a17aae471157d780720f80b97f6d6d790e7d71533a10434674ecaa3feb5d526
219977178|Tarkalani|Celadon|25b88972033a61538b2e51d366fbfd1986aa9d1db3a8f906df4890bb6654e494
716973636|shipman|Seltzer|ffb1e43c41516479921f59ea489d6421dc9dcd632a9388feca02d6d1f11c7dbc
529405962|seigneuress|antitemperance|794ebfcb468b2b92928f03ab2f027db13d96d864bed43f1b08647f23c1b3f37d
766588044|amiss|labyrinthine|a9916af72755e00bee304d1281e6ccc8382db5cfdfdd1366f92b81c3424836b8
216321973|phytase|rockable|8ada6298cc18c7ee57172ea14653322bbf872d44c2fb97ac442ef3384091150c
560463778|tanniferous|lardite|8beff10a7842776e0b78e460514aea61fb58ae6b1de951f33caa251700fcd9ee
712730888|sportively|dynamitard|dcad3c9dc97cd1bf64c8672f09441f156411a4e01d3d07b23d3957abb60e35e2
342852947|unshadowable|hypopepsia|6eb917e37df89f256a5148c7570795d18ea45ac7a87d43c46c03643cb4eed781
108505772|violator|enthalpy|cb1e54867d777e50b08931a40ccad40e9524fa22dc35c9293f0a5ddbd3f48dff
998347179|slaky|floriculturally|002784d4a789268cf946073ffc68c80ecaba8ee43b6aca9de1630b5eab28b050
891096778|mongler|pothanger|e17ac25ef40142706486359af3d541b9f3672a121dd9738fb3ff710a6e2c9d79
686970281|scrofulosis|humboldtine|811e946ee9ed019704c663612d5fcc9a43b4a746ab1f96199583f286d294f730
545036343|borachio|rethaw|6a6a20ec34a96f2dae2513fb231b86fd9b7b9f3b133aff6218ca088c9304c475
351920331|periungual|popomastic|6fb7198bc6ca4d4b4111c5d02ce87df61cb5d8d2c8e7be02bcc51bbbd7a823c3
294246663|geobotanic|straint|594a3381a15d376a36bab4edc4848f6a390fd5e86990f9caf655d1dafac8517d
540232353|Monarda|industrialist|87ccec0d468a372de95c731e9033337b776d85d762df0d1f62c54bf1ed3c7cea
515191332|Gordioidea|Chiriana|02374cd7e8be36f77751a2586b78ca50c3c747b693c6a565d148e38a577a4956
278334363|ology|naphtholsulphonic|740bf4a0f064714755fc4142a87e5259bebe312524ce4dad4c0b7801bc372861
858898383|Apodidae|rebab|70c7c88b043ad7b796f16d5d6f2c30819d4f1c08b55e3fd8cf2839ca3a4ecbba
630436464|panmnesia|theogonism|256299d53d2bbd6584037ad7aec1491aa3f6056fc86bbe682fee13cb418c85e6
800391943|delacrimation|displeasurable|f720c28a17e110215c79bb6c2b5455ae4b0f168d6f17f00a80d4dbd5b5895167
440390463|sooter|subsizar|8f438665b2b701e1f70bc072c756bf500d969b9e36ffe64968bec01b1e2cf2cd
915439388|anchusine|endotheliomyxoma|243febfac2bc51f9eabe897df32ccaaca584fecffd9450b9c2f668b7502156cf
731352644|indisposed|korakan|43c3d08463f5221437e4923eed783302a7dbafb6e54989f6f1fb7111d2969ae9
824773043|osteomanty|massager|b5485424cf7425986072482040536cc68088c8f0e86198d6d007f196f3c23e04
733737601|Scabiosa|Rind|4091ed8052af97bee2da8ddc9cd4d7ea9ff851882f367bc46954d5146b2b8cba
893165594|importune|gastrothecal|8908b89537d583e748fd67976fdc17f2889f5a54e8738c5cd7a69256a79e33fd
196935637|completely|unguileful|a7e9a12278a2049363e135050fca5190e4791f456f9852ce7a2f9a6e29299418
