sequence|TLEN|data-a|data-b|validation
0|14|alkanet|coalbag|1a0b50f2470f9c8f979beea4d1f7e6cbb365b01fe6b1b80a36dc8396a90cf834
1|18|hemocyturia|clarain|4f88984de740fe814b941c8735850aa885b42d6c499b30e24fa8e830c074efdf
2|17|struthiform|hostly|2e19ebc5af42c899d9b2f9ec21cb415f676a948d1c27719a14e99a599e273a3a
3|14|manga|triketone|4f637cce4b48ef32ad78e759091ed89740752fbe03f080020533b39170c038df
4|18|coappear|exogastric|025641d4189490235c7e42c1f14f5bee1a57b4cffcd6109af511149e42c3c6d2
5|25|ophthalmodynia|serpedinous|18295ed3828554ab9ccb262f8f40099d7363280b9e2e8b8861bcdc1c8af8a5b1
6|12|raptor|cooler|60206450246e60cc7ef3ff58232b73d8da5c69de6cc9ee9c0d3c3d7cce2a43e2
7|18|preflavoring|foster|f3a8e183145ce9d4e76ee4680a10e51f500f8359349d09d0803d064bff9db825
8|22|heredoluetic|Franciscan|e2c2ac11ed7924773eb89574c492c571e93af731de01edf5a009b29822a14064
9|10|worm|picoid|3b907c152769f722e77e1f8e1dea47dc2bb86f6dcd996c0cad24d5bea6586a7e
10|16|burnishable|uprun|cadf8e87aad598da09b177567284fc93d864ac51c756d0147661e534786e5267
11|16|zygosis|unadverse|c48abc572a64ca131e45e197c9aed6ac2c1aed5311d2b7a2bd731dbc212ef8b5
12|19|heterostyled|tremble|2d0c078c2fec5d83167da3432ce18269b7f0a977e0e3bb1c119bbe1f8f9ea10c
13|22|undispatchable|Ameiurus|f9ed4f7b0eded95ca30a44b24373c4ed2e617af8ee1896d19190fcad2ba206b4
14|11|sashay|Edoni|c55045e77864a351a8d5935bcf34cad9af2de5196856022598dc7d1ffd89c52b
15|19|prytaneum|longshanks|4f9eb48a8a3989ec8a17dd479b03eb5940cd45eaf6cd107fbf8f16a534c22634
16|19|unresolvable|hallage|3c204dffe81a114351b95a9c8c7125a84127584a9bceccfae5d3b9c41e0d4e6d
17|22|thousandweight|eciliate|64af988bb8b449d6242be08b0e59a90368dbd31631b88d11ae9e91f354e3e2db
18|19|agacella|cubbishness|c6bc6f4e1a3fc8f97148e27d4b9a3c0163e4f0082feccc6d9bce8803f065796d
19|22|loneliness|garmentmaker|e0be6819ec2c27c1d0c1bcbd5995024551e9c8ca6a2a451d7aaa222444c4612d
20|15|noisily|Miriamne|e30dcf46ce563e643118f01f75750f0811fe395a11c44e408c72b3a03fa16dc2
