sequence|TLEN|data-a|data-b|validation
0|18|forestology|smytrie|6ab378ac00c1e6e3c7d156ae3b0025fd1aa7e57d53f4b7613b6ea92358c5ac34
1|20|kern|ultramicroscopic|24da021a04eba58281f70cefa5bb71df93d38de88d5ce1b048d5ee0f4e7d96e0
2|16|aegicrania|hostry|7332ce496cfd7b7cb720e2deed0dcec7da5f0480af75a90944c28c04f1836152
3|26|undeliverableness|gooseherd|edb5bdcbd6e3b07dd70fe568e1ce22a78e909d8e6448729b9961f32c76381dae
4|16|Comid|bipinnately|b0a3de2c67377bd2231928fca8a2c067bd2b98adae654bb5e59aed95fadc85f4
5|20|irrationalistic|oxime|8447cf6b06a1a0cc3a68e11e07a8b4b47eed09bdcc11ca6f519fcf3090451cde
6|18|aforesaid|unselling|79f9cab2db373563e9cc7d4de4b38e03b469b0d6cc353d3200660034cbb2e1d9
7|18|trackshifter|Safine|93f766a6823873d3c6603316a5b3bb021be1a11a6227ee2cd5546990be704aeb
8|15|Nahani|precombat|f17940198a169fe4eee32e1db93ffa0542253936b2eeaf7619ebed8d74293f14
9|18|jointuress|unrinsed|f51c126670e1e057b6151b6d4ae255aed8559f4866f6c34a1c4bd546f5b4d7fd
10|17|untune|decelerator|f43a1bbe26fd6cdbb5df8bd0331a4c2309f7cdeb05922cc13f0523030a36835f
11|21|scoliosis|hereditarist|42e1c8e0ef255b788e925503ebf8ff7a1af49d7fd1ff04c7f030ab1c5141c36b
12|24|weatherproofing|speckfall|c35d5ed00e7a84fb91601cbba0d4c7883428ca49b3f4b83e8c2723b3563ead0d
13|16|pageant|kahikatea|20830f1e7248cbe18a467c8ae154b21dfd9524b781cd7f27a23cd951a959a0ac
14|27|prerevival|proctosigmoiditis|8c46a8350caba51ea326477ad93dcd20054181e807ec032682a04784a4cb8590
15|17|torturer|orthopnea|d6a701d9e1df89cd91e39f5cfc2df7e0809e7e68c309e0d2f29ca817042803d0
16|14|madoqua|whitely|80137c6fc448f2cb2589bc863fd14c0c9b416497ff5401c27f291db94b74de4b
17|18|alluvial|Aramaicize|36a05a1753ae1f25c67f03a2355f25e715b7c51dd2dec1b93335d94cf35c2ba5
18|23|Quaequae|prionodesmacean|42698f3a72a56650d45c06d6c4a03d61b230763c622a118b0e0a79a91d5890d0
