sequence|TLEN|data-a|data-b|validation
0|22|ventricoseness|gowkedly|eb1d27b5e6aea0792bca8e16f5461b83a43a2ca730ee3667f7d13049389fbba3
1|18|thaumaturgist|Olson|e7b254446501bd4ff4db9bb7f48680516e6d2edc72a4a2fa9eafdb795e861492
2|19|mimeo|Myzodendraceae|359b17c5daf540244c69cb64dd3ed2f243581c6983d191e285cb5e1c9eb1bb46
3|12|amyl|homeward|797f71328f1fc3bc8806116f851771858235f2630056103467e4614d492c018a
4|20|phthisiology|tinction|28bc058d3817141d3b181bc38ea7259a4eb887cac11da5bc4596a441ce2f7622
5|25|enterokinase|Noctilionidae|3950923c258ae95e231af1bad5dfe2e1e4305f64b70f4d49267cf99fa96d853a
6|16|coruco|bribetaker|aaf231e1806fc1eb37fca4b05707a752ba4dfac8d793e7d0c31a2372fda151e0
7|16|obliger|asynergia|e7964bcc58172d470a7568fa1d644961fe197fd0f4d3ea7e599828a30841ff90
8|19|dinder|berginization|13193a8659c5478fa779ea2eac39b7a1da4850db53925bd7716039c6d0e24866
9|20|unplausibly|footstick|75ab566e9dc0eb6e63d5e8d234f03141799793f8caa5252e51b81d33d4fdb764
10|16|vistal|unskewered|313c4483fbfe374d8913e33386c93ccf3cba586de472bb3cef494e8aacc2aef2
11|13|pallette|Twana|01adbc44332123e5e7a15b7e5ea74846eb60f8a6e7040927bf669d892e645e21
12|20|waygone|constellatory|8aa6907a5d58b96ffc52b8496e88390dacab2648b4e3e43263568d78f0185991
13|22|anterospinal|siserskite|201226b1d5fa8f9c57d6a580c076f6e626e539cb7a030b1a575481033d351a08
14|28|Palaeechinoidea|dermoreaction|b120bb93b298c459361aa830ddcffe7f294439b2bde4ee5b4e8211841b593ad7
15|17|unhurtfully|cosech|9e803710bccb69fb3c66c102c4fce1041a0ed34177f1c17fbe2f3f70c3241e83
16|20|defeasibility|mummery|785b3ea1fb0a96a2f95a9e106d3b531071b5a99357cf7ec4428e969073e0b09d
