sequence|TLEN|data-a|data-b|validation
0|20|correligionist|matris|b39e4edde478d051fbd80428318294c5485ee66789d0dc40b4276b749dda721c
1|21|unbreakfasted|mateship|bc75ac2b12da670e1d770bcfc8d0ee9dbfabf9556f01b276b2a40c3febd838b7
2|17|dempster|Brauronia|cf91e98d7a6bb92fd09888432ff35db6b79297bef46f3375eb001a8ecf138786
3|15|kamahi|Caesarism|6d9aed64a47b5c91e2dc08ca86475f76f74a1b7d4632453edebec5e9bcf0e724
4|16|Alhagi|uneschewed|56d26475f06abc069f1bbc26fd88c6b121ad5b9a04093f287e58e63ec04b9dd8
5|18|testable|anticipate|ac3104d87c18b22da8056fd018095111c288d85f649fac820fa49c7ef4054cb1
6|21|schizocyte|propinquity|14a958f60bfaa8edf7feaa1338792a8ab6eaceeb70c6b2b3d88c2fb476a9a9b0
7|21|Acridiidae|Polyborinae|1c035388b10e3b9b3bd4180cd7803cd8d7f556f83cc8fc61cf4409a350d49bb8
8|23|mineraiogic|shortchanger|4aac81b630b82e2ebc8d0a4f7ef1643ad2055637abff763c02a8053b6ff3932a
9|13|Zep|interrhyme|64eff651194418c073bd2a6de2be8d40e16bf972c7ab167008a83f154c0932c7
10|19|nubby|Sigillariaceae|d6c01a41c6848479ddf7929f9fa5ad9009f12b4374cd6ed4852ee16a397e1feb
11|21|bogusness|epithalamium|95fae20296477f6d1d050fb737bcf80da03a45114aff2bedce6bca6deb496f9c
12|19|Indus|possessingness|d2074ec9583b5ae489f5fa6f140ace68a1f644f39e0d884e9bd1c1e97b3ed050
13|15|shither|undreggy|16d201ed8acfdad7e14fae1609ec6b27e9cf927126b7473d4c5ace09a00c7be6
14|29|theologaster|psychoeducational|284bcc2fd9a216c1a2b26cab83d9c1943e6246f4b9d4812577931dfc270fa0be
15|20|peytrel|semilegendary|b27569a09f150149dcf228f902ff86968b84f1843d1fc48ee8d8cba82ca70b8f
16|25|semifailure|uterogestation|161eed1d0a27e6cb458815eaec74ab9e48050c87c33e26b70596d32d54abfd6e
17|21|unclarified|Vertebrata|048f596aae9c4c3bb8231da5e4bfbfbe7a0e27c11085b57b1b729218f7b3dde1
18|23|superoccipital|placodont|f126e97754c92b56034ef521bfcff55f074264c5dcb6b8560f9f86f3be68a94d
19|16|dodoism|popularly|89fde674eb1e76152383e3353ee2d2ad841aebc1948337c84559a5f14d0565a3
20|23|panarthritis|hungerproof|986d3d46928f27f94644fd2e8443ca26f0e04a67630f9b712e00a1f116f00c6f
21|27|impertransible|bidimensional|3a955b66cb7845ea6b85fecf0be3e3ad1aa00bec2ec9407976788be908b91639
22|17|prender|photodrome|6872429d6e65058f9bf502e787a8b55c0d50876fd5937f95d6b849dc7546abf8
23|22|preinvitation|prosacral|439cf1e444f7f77a48c5263dc1c8425519342f369b54170a27cf9ad7304e4586
24|16|preharvest|colugo|6e8e1cffa9f49b159310e3d2f39ced8404edf1c5cb8b7bedfd49e179a6eccecf
25|14|ammoniuria|Paba|554f753bdcf0275d3e5d25e06def616bcf72d027c286730290a58989b3d5a8d2
26|16|laciniate|rhenium|9b5850dfb65b025e2775598c950516e83edb8f059f4034743af22dde0c35eb2d
27|19|shippy|polyarthritis|6ecf333ba7c3dd0204ff53f8529ba39ed022468a020b2c5cc2621c37ab54e7f9
28|12|argo|moonrise|caccced3c446003f12b71d609a7ea5e7712c61474cd64fb8693947efd596a672
29|22|siphonia|aphydrotropism|d9d9eefe9283e20092c35d64ed46e92ad88990f74683a5c186c2ce5af1ca60ec
30|22|condensance|sociability|3a79e2d741eecd5feca146dec7a213f08b18a314c4d3acb5dd861572ef77b3c1
31|18|abasedly|unspeckled|24832046c3951e7039d80bf52e332d4744e4fde9a86aa04d2d619f39b30cd87a
32|14|soleness|linear|6e1d87897e4c035392a7449c0171b99501400b175e20284a68eea8a36689f362
33|25|counterclaimant|bachelorly|840585ec85bcac63ed93359b707f280700e869f44532c0e5d766a5f22ff6205e
34|20|panspermy|lambsuccory|bdd210d5bb6d6e61499712efd47fc7b9ae4afc25a41c1f061675d71c7d11e878
35|17|subvestment|undear|2d2ec23ed2cbf26ecc087a5a2ade53008a9357eef5ca4b8a2d1d461f55846d88
36|11|mislear|vain|9e82a8231b8ba2e3f0f303e3168bc6114a3e1afcac9a14a76b4e3518af813379
37|17|churlish|alibility|5ba45225948306bea17a6622b0dadcdf824fac28ddd79d88e9b3344d84bda9cb
38|15|rebellike|tiepin|f412275304a90c795b90c7650237671ffbd81bb330361a261e7eaa53b6514ab2
39|16|urochrome|paradox|b945d838d5d4f8d15a660203fbbbaa7a9046aebe956086d7d146ed4dce3ee1d2
40|16|nagaika|sagaciate|74296185dda13ba35f27f89b0933f2a186828e999421df1f3bb0ca4b9388343c
41|19|strepsiceros|kilnrib|7c3935c1c1861e2014f022a5bedbe79a3ea1e98e929fc26d13c4e7778c726c41
42|20|tourmaline|bluebreast|6cc0dee821e61f58a63573c5a6cd40e9dadd5a00aa7581f6480af9c0b1a6aecd
43|20|meroblastically|Ixora|3dbc319d7cda018fa9334649e260a196faed99860d3b4d39ffc3ae622d250db6
44|21|metaconid|libidinously|23603fcf7115ac663f43b821cbe70515ebee4bafa9ebe2345cc12e97fab205f4
45|15|weeda|aboveproof|32756fe1dd640c91f0ebfca5960c076dfcacc1f51eb85532de915e43b6aa77fe
46|18|refrigerator|Sufism|8e2917b897b159f96ade952fa9933f8239cb899246988ceabc9d02ab1a5d9416
47|14|Tagaur|catalyze|35fcaa9145e2dd88350eb4fc07a325070fb333143410477196e6d0d91725193f
48|15|built|nivellator|b928cf3f0d3927d9bfbd5db5d4663a0df523127712c0397389eb14a39123b357
49|15|regularity|yince|e12019ae64ba981117429fcfee1ad4d9b9399f88164b2924be7c86f70b4d167a
50|22|triturable|primrosetide|730b988a852fbf1e90c1c6f03434a291082c7ca5491c42741183bd580526786f
51|15|mirandous|netman|f442e748458a47961bbbf75d6daa0cf28bf38f1de5d9b58fe461284d2e05a9a0
52|23|revalorize|deozonization|2fafa70885f5b042d82d4527880930080b39cc602d23367b266b753b9de9859d
53|21|subtartarean|pregnancy|4bdf624e1f32f9a6f92078dc40e13e4e254c3a8227dd5d6dbbad614c3a258fe5
54|16|arrestee|unmetric|ebed24484f2ac16765ca4be5028eb91027ab727b3bb0920e44797726fe5cf43c
55|15|Prionops|retrain|9e4add27a0a4a27bc239b6d20e8da7a40a2bc1be28ff1cd31d7b0a40834f7be4
56|22|phonotypist|proletarize|25aee857d84e28560ee0b71ea08ab90fdd595577a775bcb99c2b2b55ae68e2c8
57|21|vehiculation|diazotate|5c456ff8b622b337a60dea4706b659d188ab8d0cfc6b99d399f1838e44b8990b
58|25|undreaming|subadministrate|3ed444b9bd5dee4210cb13ff5864477a33e19f50a6f01800b234faaca8b879a1
59|19|thoracaorta|supposer|122e644eb7273936c9d4cc995cbe1ba212a225c3bcdd503f16aa1f675acae92b
60|20|doiled|Gymnodiniaceae|a7a2a3f579ed8d88d6145d99cc7f67ae2110f3d78c77f4567ad8799f361cdca5
61|15|defamatory|wandy|f7146706490cffa901854e8c5035a90bbf6a7dc80199d8851c2295d39995ec62
62|22|carbonizable|virescence|20699d3142b6ace8e86520bbf7fe6173124ff5ca6f0b1afc7cfbd8ea02ec1d31
63|17|buteonine|caducean|0c5bd86e4b814b97ddc05e7f095a92b7cf1a7da388a693821a86ad72ad0b0beb
64|21|Goodyera|cushionflower|7e015c4c42fd09e5cf0eba54e2b98367ba052779687398cd5ea28c34e3763ac6
65|17|Latinistical|bahar|6a72262a77eb656195594357e87cdcf3243ea2f22fc1407f90cf7a228101d806
66|18|surgeoness|melilite|47149390380e51efdfa9b24a4f3bd685d311e5df1fe5e1da8d5ab1930a64e237
67|18|anisopleural|hansom|5f5c8242efd7e8c1e24138401464e1c858eccb42d304e918b1a246186de9a208
68|18|proximobuccal|rally|997b4babaed6760dad919d6e42defa09f058d41e2ebd89880b19cbf3a4b5d7d2
69|16|Amuchco|exodontia|79b1a5a50bd3c4c583af58ce4477b957479410f27f1e7d3f890e02c79f740ee4
70|16|licensor|flyspeck|c3679962a6d5709192a3eb941a254cb23733a99e09e278156ad944b33e6b09a6
71|19|phlebolithic|chervil|0afbc0e4e6ac77c0ed7c01e5e40da199a24d7b0ff25e266ce2fbd2960dd3dc19
72|26|creamily|chromophotographic|8cd8d7c79e6d8aa898ffb353a5a33eca709f6bbe0ec9c0fb45f0f1e9baa0cbe7
73|24|Saurognathae|sinupalliate|5882f492cb64deb5584a34afebfa51cb1a3ec9e50e4472474d954591fe1df641
74|16|featherpate|jours|2c05aa55f92e15ed7f86e6d1d7241fcf947decb7830f8e81b093a81caca11fe3
75|19|ceratoid|lochiometra|7776da8b57734cc7621d44f6bc7603aa9fa75f132d6c3c3aa3026e8994a437b3
76|19|fusionist|capitalize|ef9fbaa66124d7d89307612aafcbdae3d100e7f9e4ec349a5d04996c5b15d860
77|12|ostracine|oak|5b7ac904be480183beff5531cd9aab72a49d12ee8bc7115dc4e2d4caa71e1f4f
78|13|sprigger|kitar|43b12d1a25758538962a58b2b8541921ba3ed9e2d2b43cbdce9f166981098167
79|18|apoquinine|syntexis|5a68fff73e44d61c35b407c4a52946de37e84a57a5827895d2a44473c355fffc
80|21|aeroplaner|microsphere|a47fcbc356c8e7e30a8af072c09a4415d639430734e5da0490f93d65d221b955
81|19|experimentarian|hizz|45f8a5363d0930c283ea3d5fb04039c22201ddc02cdac0e91aa62f42be841902
82|14|platicly|Brodie|9a73ba609369bf32baccde45812331a7b2606fae7ea23d3a44935706a6bcb64a
83|18|sulfonmethane|banal|4211a01f6e408e759806b4643398d70f2a00987c63216b77ccd3b9fcc69249ee
84|14|enraged|broggle|4a79bdb6f6fea74ad1e50217126399defc4332f89d4f45083e699d5a959ca1fd
85|13|strack|annuent|d572a2c7daa964ebcab5d3370dfd8909e13b82338153aec37ad9664b272e8049
86|11|oddman|leggy|fc6b349252c45c8eed77fd0e438febd122d0c96d8c17107a85ca6818929ec070
87|19|reciprocality|engore|6c85d01de5d13eafbab4fdcb4a3fb184a7716d08dec732d827ba67ead614a7f6
88|18|parricidally|agrufe|80c1c27dc5c627aa313d29cd9fe1c93a57c62d06d1cbded1a2d90492a6cc9653
89|20|aphthongia|gloominess|3283032300f0df37bfb17a5d430b919b75f32a30e7aff16c47b35a9cd0b81193
90|16|refloor|Jalalaean|55df5525e28fd92b5f0346b10babc9d068fd7e13777f3ee84597f7d60842d629
91|20|spathal|microgranular|8736a8a2c84a351d9ebc536a09f20904afad2adfca35d77ed02613748d8c5b77
92|15|laurel|terpilene|92fcfa3c41aa11e1b6b619653f094f3a4eeffb7f6b97256a77445b3061039175
93|14|pluvine|outseek|2f7fcf609148c23d20445de4d7aa5c6dcb035942af5316333b5901c69e1647c8
94|17|miller|suboverseer|daaea6af18cf91c7d6778fa6a60f69c70293e9b2ab35c3be20e6ca5e2b967722
95|16|tritoconid|jersey|c5c179929d2d264b4a07563daef6b6dfd0d1c830b6fe4271111f3bf3c737df76
96|19|nondisclosure|Aythya|58e9453f682a86729cdbe946ff702e8a15035e81d641ea02ed7c2464babbc314
97|18|corpse|searcherlike|3e16cf378b00bc94edd6aa84108c865c13b9c0a6dfb72b168634d802a76d4f27
98|21|injuredness|unlaudable|df1728fba459dc7835d0c467365894ea0a5706036cf512f20d8ab4c54f28a4b4
99|20|sanidinite|absinthial|0417874e2c3f21de3a43ad8679a2be4ac53ca0281704df8c8ea15e1659500783
100|19|category|histotropic|a3cf9c83757f933bd1d0970141946357674e4c19eba37492f50de128783e159f
101|14|atrocha|outjest|64f408d8957b6003e49b21d9de84d533195be8a0a131882bac8775e2d3f927d5
102|23|hyperthermia|thigmotaxis|bcacb277b0293210c51722412e73b9bb9e1045414bf33ccc08f9aaf2c5ebc720
103|14|whalebone|Fusus|1378758b0e7d0f950af049894eef5f68ee984537d6411fa6b7aa685da04c01c4
104|23|antichretic|transilience|8e5a32eed89902eab4bc75c98605eb0d45ebdfc232f8cf3341baba6c929d0df0
105|21|cryptococcic|telepheme|4dccd989cd9d47a0ed9dec91909593fd1b02adee307109b36f77ec4aa34f7f1c
